GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bad-calculator,edu.pnu.badcalc,App,55,0,4,0,19,0,5,0,3,0
bad-calculator,edu.pnu.badcalc,Calculator,41,107,6,9,9,26,7,10,1,7
